DATEINT,DATE,DAY,EVENT NUMBER,EVENT NAME,TIME,REGULAR HOURS,OVERTIME HOURS
20200416,4/16/2020,THU,13169,SecurityOperations,1430-2220,7.33,0.0
20200415,4/15/2020,WED,13169,SecurityOperations,1430-2221,7.35,0.0
20200413,4/13/2020,MON,13169,SecurityOperations,1430-2230,7.5,0.0
20200411,4/11/2020,SAT,13169,SecurityOperations,1430-2215,7.25,0.0
20200410,4/10/2020,FRI,13169,SecurityOperations,1430-2220,7.33,0.0
20200408,4/8/2020,WED,13169,SecurityOperations,1430-2210,7.17,0.0
20200407,4/7/2020,TUE,13169,SecurityOperations,1430-2215,7.25,0.0
20200405,4/5/2020,SUN,13169,SecurityOperations,0630-1420,7.33,0.0
20200404,4/4/2020,SAT,13169,SecurityOperations,1430-2230,7.5,0.0
20200403,4/3/2020,FRI,13169,SecurityOperations,1430-2230,7.5,0.0
20200401,4/1/2020,WED,13169,SecurityOperations,1430-2230,7.5,0.0
20200329,3/29/2020,SUN,13169,SecurityOperations,1430-2230,7.5,0.0
20200328,3/28/2020,SAT,13169,SecurityOperations,1430-2230,7.5,0.0
20200327,3/27/2020,FRI,13169,SecurityOperations,1430-2230,7.5,0.0
20200326,3/26/2020,THU,13169,Security Operation,1430-2230,7.5,0.0
20200320,3/20/2020,FRI,13184,GalvezLotMobileClinic,1600-2330,7.0,0.0
20200319,3/19/2020,THU,12678,Foothills,1600-2000,4.0,0.0
20200318,3/18/2020,WED,12678,Foothills,1600-2000,4.0,0.0
20200317,3/17/2020,TUE,12678,Foothills,1600-2000,4.0,0.0
20200315,3/15/2020,SUN,12678,Foothills,1500-2000,5.0,0.0
20200314,3/14/2020,SAT,12678,Foothills,1300-2000,6.5,0.0
20200313,3/13/2020,FRI,13169,ResidentialSpotChech,1400-2100,6.5,0.0
20200308,3/8/2020,SUN,12678,Foothills,1300-2000,6.5,0.0
20200301,3/1/2020,SUN,12883,MenBBvsColorado,1330-1730,4.0,0.0
20200301,3/1/2020,SUN,12678,Foothills,1800-2000,2.0,0.0
20200228,2/28/2020,FRI,13092,CallOff,1600-1601,0.02,0.0
20200227,2/27/2020,THU,13080,ArbuckleAwardDinner,1630-2200,5.5,0.0
20200226,2/26/2020,WED,12882,MenBBvsUtah,1730-2130,4.0,0.0
20200225,2/25/2020,TUE,13087,CASBSSymposium,1600-1940,3.67,0.0
20200223,2/23/2020,SUN,12678,Foothills,1400-1900,5.0,0.0
20200222,2/22/2020,SAT,13089,CrepeNight,1715-2230,5.25,0.0
20200221,2/21/2020,FRI,12678,Foothills,1430-1830,4.0,0.0
20200221,2/21/2020,FRI,13088,EncountereCulture,1900-2230,3.5,0.0
20200217,2/17/2020,MON,12678,Foothills,1400-1900,5.0,0.0
20200216,2/16/2020,SUN,12678,Foothills,1400-1900,5.0,0.0
20200215,2/15/2020,SAT,13031,TreeHack,1530-0000,8.0,0.0
20200214,2/14/2020,FRI,13031,TreeHack,1530-0015,8.0,0.25
20200209,2/9/2020,SUN,12678,Foothills,0600-1000,4.0,0.0
20200209,2/9/2020,SUN,12881,WomenBBvsUSC,1030-1445,4.0,0.25
20200205,2/5/2020,WED,13039,Bing-VladimirFeltsman,1800-2145,3.75,0.0
20200202,2/2/2020,SUN,12678,Foothills,1400-1900,5.0,0.0
20200201,2/1/2020,SAT,12879,MenBBvsOregon,1330-1815,4.75,0.0
20200131,1/31/2020,FRI,12678,Foothills,1400-1830,4.5,0.0
20200130,1/30/2020,THU,12678,Foothills,1630-1800,1.5,0.0
20200130,1/30/2020,THU,12878,MenBBvsOregonState,1830-2245,4.25,0.0
20200126,1/26/2020,SUN,12995,ChineseNewYears,1720-2215,4.42,0.0
20200124,1/24/2020,FRI,12678,Foothills,1430-1830,4.0,0.0
20200123,1/23/2020,THU,12992,ACSSharkTank,1600-2030,4.5,0.0
20200119,1/19/2020,SUN,12678,Foothills,1330-1830,5.0,0.0
20200117,1/17/2020,FRI,13019,MontPelerinSociety,1430-2145,6.75,0.0
20200116,1/16/2020,THU,13019,MontPelerinSociety,1730-0000,6.0,0.0
20200111,1/11/2020,SAT,12678,Foothills,0900-1300,4.0,0.0
20200111,1/11/2020,SAT,12877,MemBBvsWashingtonState,1330-1730,4.0,0.0
20200109,1/9/2020,THU,12876,MenBBvsWashingtonState,1630-2115,4.75,0.0
20200105,1/5/2020,SUN,12678,Foothills,0600-1230,6.0,0.0
20200104,1/4/2020,SAT,12678,Foothills,0600-1230,6.0,0.0
20200103,1/3/2020,FRI,12675,TourBus,1200-1700,5.0,0.0
20200103,1/3/2020,FRI,12855,WomenBBvsWashingtonState,1730-2120,3.0,0.8300000000000001
20200102,1/2/2020,THU,12875,MenBBvsCal,1830-2230,4.0,0.0
20191229,12/29/2019,SUN,12967,WBSecurity,0630-1000,3.5,0.0
20191229,12/29/2019,SUN,12875,MenBBvsKansas,1030-1500,4.5,0.0
20191226,12/26/2019,THU,12678,Foothills,0600-1230,6.0,0.0
20191225,12/25/2019,WED,12678,Foothills,0600-1230,6.0,0.0
20191223,12/23/2019,MON,12967,WBSecurity,1430-2300,8.0,0.0
20191222,12/22/2019,SUN,12967,WBSecurity,1430-2300,8.0,0.0
20191221,12/21/2019,SAT,12678,Foothills,0600-1100,5.0,0.0
20191220,12/20/2019,FRI,12678,Foothills,1430-1830,4.0,0.0
20191218,12/18/2019,WED,12853,WomenBBvsTennessee,1730-2130,4.0,0.0
20191217,12/17/2019,TUE,12873,MenBBvsSF,1630-2045,4.25,0.0
20191215,12/15/2019,SUN,12678,Foothills,1330-1830,5.0,0.0
20191214,12/14/2019,SAT,12678,Foothills,0600-1230,6.0,0.0
20191202,12/2/2019,MON,12675,Tour Bus,1430-1930,5.0,0.0
20191201,12/1/2019,SUN,12678,Foothills,0600-1130,5.0,0.0
20191201,12/1/2019,SUN,12678,MenBBvsUNCWilmington,1130-1530,3.0,1.0
20191129,11/29/2019,FRI,12678,Foothills,1330-1830,5.0,0.0
20191128,11/28/2019,THU,12678,Foothills,1330-1830,5.0,0.0
20191127,11/27/2019,WED,12678,Foothills,1330-1830,5.0,0.0
20191124,11/24/2019,SUN,12851,WomenBBvsBuffalo,1230-1600,3.5,0.0
20191124,11/24/2019,SUN,12678,Foothills,1630-1830,2.0,0.0
20191122,11/22/2019,FRI,12678,Foothills,1430-1830,4.0,0.0
20191121,11/21/2019,THU,12870,MennBBvsWilliam&Mary,1430-1830,4.0,0.0
20191120,11/20/2019,WED,12895,BitaPrize,1700-2100,4.0,0.0
20191119,11/19/2019,TUE,12869,MenBBvsMarylandEasternShore,1730-2130,4.0,0.0
20191117,11/17/2019,SUN,12678,Foothills,0600-1230,6.0,0.0
20191117,11/17/2019,SUN,12918,VolleyBall,1230-1415,1.75,0.0
20191115,11/15/2019,FRI,12678,Foothills,1430-1830,4.0,0.0
20191114,11/14/2019,THU,12849,WomenBBvsNorthernColorado,1730-2115,3.75,0.0
20191113,11/13/2019,WED,12923,Bing-MozartMusing,1800-2200,4.0,0.0
